Linux Commands,Description
`cd [directory]`,Change directory 
`cd ..`,Change to one directory up
`mkdir [directory]`,create a directory 
`mkdir -p [directory]`,"create directories as necessary, if the directories exist, no error is specified"
`pwd`,Print current working directory
`ls`,lists directory contents of files and directories
`ls -ltra`,all the files in long format with the newest one at the bottom
`cp /path/to/source/file1 /path/to/destination/file2`,Copy files from source to destination
`cp –r /path/to/source/dir1 /path/to/destination/dir2`,Copy directory from source to destination
`mv /source/file1 /source/file2`,move directories or files  and rename them
`cat filename1`,display the content of text files
`rm -rf /path/to/dir`,used to delete files and directories
