Software,Version,Dependent Toolchain,Module Load Command
EasyBuild,4.3.3,-,`module load EasyBuild/4.3.3`
EasyBuild,4.4.0,-,`module load EasyBuild/4.4.0`
EasyBuild,4.4.2,-,`module load EasyBuild/4.4.2`
EasyBuild,4.5.0,-,`module load EasyBuild/4.5.0`
EasyBuild,4.5.2,-,`module load EasyBuild/4.5.2`
EasyBuild,4.5.3,-,`module load EasyBuild/4.5.3`
EasyBuild,4.5.4,-,`module load EasyBuild/4.5.4`
EasyBuild,4.5.5,-,`module load EasyBuild/4.5.5`
EasyBuild,4.6.0,-,`module load EasyBuild/4.6.0`
EasyBuild,4.7.0,-,`module load EasyBuild/4.7.0`
M4,.1.4.18,-,`module load M4/.1.4.18`
M4,.1.4.19,-,`module load M4/.1.4.19`
M4,.1.4.17,-,`module load M4/.1.4.17`
Bison,.3.5.3,-,`module load Bison/.3.5.3`
Bison,.3.3.2,-,`module load Bison/.3.3.2`
Bison,.3.7.1,-,`module load Bison/.3.7.1`
Bison,.3.7.6,-,`module load Bison/.3.7.6`
Bison,.3.8.2,-,`module load Bison/.3.8.2`
zlib,.1.2.11,-,`module load zlib/.1.2.11`
zlib,.1.2.12,-,`module load zlib/.1.2.12`
help2man,.1.47.4,-,`module load help2man/.1.47.4`
flex,.2.6.4,-,`module load flex/.2.6.4`
binutils,.2.34,-,`module load binutils/.2.34`
binutils,.2.32,-,`module load binutils/.2.32`
binutils,.2.35,-,`module load binutils/.2.35`
binutils,.2.36.1,-,`module load binutils/.2.36.1`
binutils,.2.37,-,`module load binutils/.2.37`
binutils,.2.38,-,`module load binutils/.2.38`
binutils,.2.39,-,`module load binutils/.2.39`
GCCcore,.9.3.0,-,`module load GCCcore/.9.3.0`
GCCcore,.8.3.0,-,`module load GCCcore/.8.3.0`
GCCcore,.10.2.0,-,`module load GCCcore/.10.2.0`
GCCcore,.10.3.0,-,`module load GCCcore/.10.3.0`
GCCcore,.11.2.0,-,`module load GCCcore/.11.2.0`
GCCcore,.12.2.0,-,`module load GCCcore/.12.2.0`
GCC,9.3.0,foss/2020a,`module load GCC/9.3.0`
GCC,10.2.0,foss/2020b,`module load GCC/10.2.0`
GCC,10.3.0,foss/2021a,`module load GCC/10.3.0`
GCC,11.2.0,foss/2021b,`module load GCC/11.2.0`
GCC,12.2.0,foss/2022b,`module load GCC/12.2.0`
ncurses,.6.1,-,`module load ncurses/.6.1`
ncurses,.6.0,-,`module load ncurses/.6.0`
ncurses,.6.2,-,`module load ncurses/.6.2`
ncurses,.6.3,-,`module load ncurses/.6.3`
gettext,.0.20.1,-,`module load gettext/.0.20.1`
gettext,.0.19.8.1,-,`module load gettext/.0.19.8.1`
gettext,.0.21,-,`module load gettext/.0.21`
gettext,.0.21.1,-,`module load gettext/.0.21.1`
gompi,2020a,-,`module load gompi/2020a`
gompi,2019b,-,`module load gompi/2019b`
gompi,2020b,-,`module load gompi/2020b`
gompi,2021a,-,`module load gompi/2021a`
gompi,2021b,-,`module load gompi/2021b`
gompi,2022b,-,`module load gompi/2022b`
foss,2020a,-,`module load foss/2020a`
foss,2019b,-,`module load foss/2019b`
foss,2020b,-,`module load foss/2020b`
foss,2021a,-,`module load foss/2021a`
foss,2021b,-,`module load foss/2021b`
foss,2022b,-,`module load foss/2022b`
Eigen,3.3.7,-,`module load Eigen/3.3.7`
Java,11.0.2,-,`module load Java/11.0.2`
Java,.modulerc,-,`module load Java/.modulerc`
Java,1.8.0_281,-,`module load Java/1.8.0_281`
Java,.modulerc.bak_20211102084550_123535,-,`module load Java/.modulerc.bak_20211102084550_123535`
Java,17.0.2,-,`module load Java/17.0.2`
CUDAcore,11.1.1,-,`module load CUDAcore/11.1.1`
gcccuda,2020b,-,`module load gcccuda/2020b`
gompic,2020b,-,`module load gompic/2020b`
sbt,1.3.13-Java-1.8,-,`module load sbt/1.3.13-Java-1.8`
pkg-config,.0.29.2,-,`module load pkg-config/.0.29.2`
OpenSSL,.1.1,-,`module load OpenSSL/.1.1`
OpenSSL,1.1,-,`module load OpenSSL/1.1`
iimpi,.2021b,-,`module load iimpi/.2021b`
iimpi,.2021a,-,`module load iimpi/.2021a`
imkl,2021.4.0,-,`module load imkl/2021.4.0`
intel-compilers,2021.4.0,intel/2021b,`module load intel-compilers/2021.4.0`
intel-compilers,2021.2.0,intel/2021a,`module load intel-compilers/2021.2.0`
intel,2021b,-,`module load intel/2021b`
intel,2021a,-,`module load intel/2021a`
FreeSurfer,7.2.0-centos7_x86_64,-,`module load FreeSurfer/7.2.0-centos7_x86_64`
Maven,3.6.3,-,`module load Maven/3.6.3`
CUDA,11.4.1,-,`module load CUDA/11.4.1`
CUDA,11.7.0,-,`module load CUDA/11.7.0`
ANSYS,2022,-,`module load ANSYS/2022`
MATLAB,2022a,-,`module load MATLAB/2022a`
Anaconda3,2022.05,-,`module load Anaconda3/2022.05`
Autoconf,.2.69,-,`module load Autoconf/.2.69`
Automake,.1.15,-,`module load Automake/.1.15`
libtool,.2.4.6,-,`module load libtool/.2.4.6`
Autotools,.20150215,-,`module load Autotools/.20150215`
DMTCP,2.6.0,-,`module load DMTCP/2.6.0`
CMake,3.18.4,-,`module load CMake/3.18.4`
cuDNN,8.2.2.26-CUDA-11.4.1,-,`module load cuDNN/8.2.2.26-CUDA-11.4.1`
pkgconf,1.8.0,-,`module load pkgconf/1.8.0`
PyCharm,2021.1.1,-,`module load PyCharm/2021.1.1`
ant,1.10.11-Java-17.0.2,-,`module load ant/1.10.11-Java-17.0.2`
ant,1.10.11-Java-11,-,`module load ant/1.10.11-Java-11`
Julia,1.7.3-linux-x86_64,-,`module load Julia/1.7.3-linux-x86_64`
AutoDock-Vina,1.1.2-linux_x86,-,`module load AutoDock-Vina/1.1.2-linux_x86`
Tecplot360,2022,-,`module load Tecplot360/2022`
Miniconda3,4.9.2,-,`module load Miniconda3/4.9.2`
Mamba,4.14.0-0,-,`module load Mamba/4.14.0-0`
gfbf,2022b,-,`module load gfbf/2022b`
zlib,.1.2.11,foss/2020a,`module load foss/2020a zlib/.1.2.11`
help2man,.1.47.12,foss/2020a,`module load foss/2020a help2man/.1.47.12`
M4,.1.4.18,foss/2020a,`module load foss/2020a M4/.1.4.18`
Bison,.3.5.3,foss/2020a,`module load foss/2020a Bison/.3.5.3`
flex,.2.6.4,foss/2020a,`module load foss/2020a flex/.2.6.4`
binutils,.2.34,foss/2020a,`module load foss/2020a binutils/.2.34`
pkg-config,.0.29.2,foss/2020a,`module load foss/2020a pkg-config/.0.29.2`
libevent,2.1.11,foss/2020a,`module load foss/2020a libevent/2.1.11`
libfabric,.1.11.0,foss/2020a,`module load foss/2020a libfabric/.1.11.0`
libtool,.2.4.6,foss/2020a,`module load foss/2020a libtool/.2.4.6`
XZ,.5.2.5,foss/2020a,`module load foss/2020a XZ/.5.2.5`
libxml2,.2.9.10,foss/2020a,`module load foss/2020a libxml2/.2.9.10`
expat,.2.2.9,foss/2020a,`module load foss/2020a expat/.2.2.9`
makeinfo,.6.7,foss/2020a,`module load foss/2020a makeinfo/.6.7`
groff,.1.22.4,foss/2020a,`module load foss/2020a groff/.1.22.4`
ncurses,.6.2,foss/2020a,`module load foss/2020a ncurses/.6.2`
libreadline,.8.0,foss/2020a,`module load foss/2020a libreadline/.8.0`
DB,18.1.32,foss/2020a,`module load foss/2020a DB/18.1.32`
Perl,5.30.2,foss/2020a,`module load foss/2020a Perl/5.30.2`
Autoconf,.2.69,foss/2020a,`module load foss/2020a Autoconf/.2.69`
Automake,.1.16.1,foss/2020a,`module load foss/2020a Automake/.1.16.1`
Autotools,.20180311,foss/2020a,`module load foss/2020a Autotools/.20180311`
xorg-macros,.1.19.2,foss/2020a,`module load foss/2020a xorg-macros/.1.19.2`
numactl,.2.0.13,foss/2020a,`module load foss/2020a numactl/.2.0.13`
UCX,1.8.0,foss/2020a,`module load foss/2020a UCX/1.8.0`
libpciaccess,.0.16,foss/2020a,`module load foss/2020a libpciaccess/.0.16`
hwloc,.2.2.0,foss/2020a,`module load foss/2020a hwloc/.2.2.0`
PMIx,3.1.5,foss/2020a,`module load foss/2020a PMIx/3.1.5`
bzip2,.1.0.8,foss/2020a,`module load foss/2020a bzip2/.1.0.8`
cURL,.7.69.1,foss/2020a,`module load foss/2020a cURL/.7.69.1`
CMake,3.16.4,foss/2020a,`module load foss/2020a CMake/3.16.4`
libpng,.1.6.37,foss/2020a,`module load foss/2020a libpng/.1.6.37`
UnZip,6.0,foss/2020a,`module load foss/2020a UnZip/6.0`
GMP,.6.2.0,foss/2020a,`module load foss/2020a GMP/.6.2.0`
NASM,.2.14.02,foss/2020a,`module load foss/2020a NASM/.2.14.02`
Tcl,8.6.10,foss/2020a,`module load foss/2020a Tcl/8.6.10`
libjpeg-turbo,.2.0.4,foss/2020a,`module load foss/2020a libjpeg-turbo/.2.0.4`
SQLite,3.31.1,foss/2020a,`module load foss/2020a SQLite/3.31.1`
libffi,.3.3,foss/2020a,`module load foss/2020a libffi/.3.3`
Python,3.8.2,foss/2020a,`module load foss/2020a Python/3.8.2`
Python,2.7.18,foss/2020a,`module load foss/2020a Python/2.7.18`
archspec,0.1.0-Python-3.8.2,foss/2020a,`module load foss/2020a archspec/0.1.0-Python-3.8.2`
gzip,1.10,foss/2020a,`module load foss/2020a gzip/1.10`
libiconv,1.16,foss/2020a,`module load foss/2020a libiconv/1.16`
Doxygen,.1.8.17,foss/2020a,`module load foss/2020a Doxygen/.1.8.17`
tbb,2020.1,foss/2020a,`module load foss/2020a tbb/2020.1`
Szip,.2.1.1,foss/2020a,`module load foss/2020a Szip/.2.1.1`
PCRE,.8.44,foss/2020a,`module load foss/2020a PCRE/.8.44`
Voro++,0.4.6,foss/2020a,`module load foss/2020a Voro++/0.4.6`
x264,20191217,foss/2020a,`module load foss/2020a x264/20191217`
LAME,3.100,foss/2020a,`module load foss/2020a LAME/3.100`
Eigen,3.3.7,foss/2020a,`module load foss/2020a Eigen/3.3.7`
Yasm,1.3.0,foss/2020a,`module load foss/2020a Yasm/1.3.0`
x265,3.3,foss/2020a,`module load foss/2020a x265/3.3`
freetype,.2.10.1,foss/2020a,`module load foss/2020a freetype/.2.10.1`
gettext,.0.20.1,foss/2020a,`module load foss/2020a gettext/.0.20.1`
intltool,0.51.0,foss/2020a,`module load foss/2020a intltool/0.51.0`
pkgconfig,1.5.1-Python-3.8.2,foss/2020a,`module load foss/2020a pkgconfig/1.5.1-Python-3.8.2`
FriBidi,1.0.9,foss/2020a,`module load foss/2020a FriBidi/1.0.9`
gperf,3.1,foss/2020a,`module load foss/2020a gperf/3.1`
Ninja,1.10.0,foss/2020a,`module load foss/2020a Ninja/1.10.0`
util-linux,2.35,foss/2020a,`module load foss/2020a util-linux/2.35`
pybind11,2.4.3-Python-3.8.2,foss/2020a,`module load foss/2020a pybind11/2.4.3-Python-3.8.2`
libunistring,0.9.10,foss/2020a,`module load foss/2020a libunistring/0.9.10`
fontconfig,.2.13.92,foss/2020a,`module load foss/2020a fontconfig/.2.13.92`
Meson,0.55.1-Python-3.8.2,foss/2020a,`module load foss/2020a Meson/0.55.1-Python-3.8.2`
X11,.20200222,foss/2020a,`module load foss/2020a X11/.20200222`
FFmpeg,4.2.2,foss/2020a,`module load foss/2020a FFmpeg/4.2.2`
gc,7.6.12,foss/2020a,`module load foss/2020a gc/7.6.12`
Tk,.8.6.10,foss/2020a,`module load foss/2020a Tk/.8.6.10`
Guile,1.8.8,foss/2020a,`module load foss/2020a Guile/1.8.8`
Tkinter,3.8.2,foss/2020a,`module load foss/2020a Tkinter/3.8.2`
libmatheval,1.1.11,foss/2020a,`module load foss/2020a libmatheval/1.1.11`
Mako,1.1.2,foss/2020a,`module load foss/2020a Mako/1.1.2`
libdrm,2.4.100,foss/2020a,`module load foss/2020a libdrm/2.4.100`
lz4,1.9.2,foss/2020a,`module load foss/2020a lz4/1.9.2`
zstd,1.4.4,foss/2020a,`module load foss/2020a zstd/1.4.4`
libglvnd,1.2.0,foss/2020a,`module load foss/2020a libglvnd/1.2.0`
